Thread ID: 70192904830480
Total: 0.614759
Sort by: self_time

 %self      total      self      wait     child     calls  name
 43.35      0.356     0.267     0.000     0.090    36006   Array#each_index 
  9.88      0.061     0.061     0.000     0.000   180029   Kernel#is_a? 
  7.17      0.370     0.044     0.000     0.326    28800   Ai4r::Clusterers::Clusterer#euclidean_distance 
  6.61      0.041     0.041     0.000     0.000   108000   Float#+ 
  5.98      0.407     0.037     0.000     0.370    28800   Ai4r::Clusterers::KMeans#distance 
  4.99      0.485     0.031     0.000     0.455     7203   Array#collect 
  4.70      0.575     0.029     0.000     0.546      454  *Array#each 
  3.24      0.040     0.020     0.000     0.020     7200   Ai4r::Data::DataSet#<< 
  2.59      0.046     0.016     0.000     0.030     7200   Ai4r::Clusterers::Clusterer#get_min_index 
  1.90      0.019     0.012     0.000     0.008     7200   ChunkyPNG::Color#to_truecolor_bytes 
  1.87      0.014     0.012     0.000     0.003     7200   Ai4r::Data::DataSet#num_attributes 
  1.52      0.487     0.009     0.000     0.478     7200   Ai4r::Clusterers::KMeans#eval 
  0.84      0.005     0.005     0.000     0.000    14445   Array#first 
  0.71      0.005     0.004     0.000     0.000        2   Array#reverse_each 
  0.45      0.003     0.003     0.000     0.000     7214   Kernel#nil? 
  0.43      0.003     0.003     0.000     0.000     7200   OilyPNG::Color#g 
  0.42      0.003     0.003     0.000     0.000     7200   OilyPNG::Color#r 
  0.41      0.003     0.003     0.000     0.000     7200   OilyPNG::Color#b 
  0.14      0.001     0.001     0.000     0.000      192   Range#each 
  0.13      0.001     0.001     0.000     0.000      294   <Class::File>#file? 
  0.13      0.001     0.001     0.000     0.000      388   Array#hash 
  0.08      0.001     0.000     0.000     0.000       20   Gem::Version#<=> 
  0.08      0.000     0.000     0.000     0.000     1164   Float#hash 
  0.08      0.003     0.000     0.000     0.002      192   Object#dist 
  0.07      0.004     0.000     0.000     0.004        8   Enumerable#sort_by 
  0.07      0.000     0.000     0.000     0.000      790   Float#** 
  0.06      0.000     0.000     0.000     0.000      885   Float#<=> 
  0.06      0.002     0.000     0.000     0.001        8   Object#key_colors 
  0.06      0.000     0.000     0.000     0.000        1   <Module::Process>#spawn 
  0.06      0.002     0.000     0.000     0.002       13   <Module::ChunkyPNG::Chunk>#read 
  0.06      0.003     0.000     0.000     0.003       96   Gem::Specification#contains_requirable_file? 
  0.05      0.000     0.000     0.000     0.000        2   Kernel#gem_original_require 
  0.04      0.000     0.000     0.000     0.000       15   Hash#each 
  0.04      0.000     0.000     0.000     0.000        1   OilyPNG::PNGDecoding#decode_png_image_pass 
  0.04      0.000     0.000     0.000     0.000       41   IO#read 
  0.04      0.001     0.000     0.000     0.000       13   ChunkyPNG::Chunk::Base#initialize 
  0.04      0.001     0.000     0.000     0.001      194   Enumerable#inject 
  0.04      0.000     0.000     0.000     0.000      167   Module#=== 
  0.04      0.000     0.000     0.000     0.000        3   Module#module_eval 
  0.04      0.002     0.000     0.000     0.002        1   <Class::ChunkyPNG::Datastream>#from_io 
  0.04      0.001     0.000     0.000     0.001      192   Enumerable#map 
  0.03      0.000     0.000     0.000     0.000      184   String#=== 
  0.03      0.002     0.000     0.000     0.002      210  *Enumerable#any? 
  0.02      0.000     0.000     0.000     0.000       13   <Module::ChunkyPNG::Chunk>#verify_crc! 
  0.02      0.000     0.000     0.000     0.000       96   Gem::Specification#full_gem_path 
  0.02      0.001     0.000     0.000     0.001        8   Gem::Version#bump 
  0.02      0.000     0.000     0.000     0.000       30   String#unpack 
  0.02      0.036     0.000     0.000     0.036        1   <Class::ChunkyPNG::Palette>#from_chunks 
  0.02      0.000     0.000     0.000     0.000       19   Symbol#to_s 
  0.02      0.000     0.000     0.000     0.000       48   Gem::Version#segments 
  0.02      0.000     0.000     0.000     0.000       98   <Module::Gem>#suffixes 
  0.02      0.000     0.000     0.000     0.000        8   BasicObject#method_missing 
  0.02      0.000     0.000     0.000     0.000        1   <Object::Object>#to_hash 
  0.02      0.000     0.000     0.000     0.000        1   <Module::Process>#waitpid 
  0.01      0.000     0.000     0.000     0.000      193   Fixnum#+ 
  0.01      0.003     0.000     0.000     0.002        1   <Class::ChunkyPNG::Datastream>#from_file 
  0.01      0.000     0.000     0.000     0.000       11   String#=~ 
  0.01      0.000     0.000     0.000     0.000       26   <Module::Zlib>#crc32 
  0.01      0.000     0.000     0.000     0.000        1   <Class::ChunkyPNG::Chunk::Header>#read 
  0.01      0.000     0.000     0.000     0.000       19   Kernel#dup 
  0.01      0.000     0.000     0.000     0.000       13   Array#join 
  0.01      0.000     0.000     0.000     0.000        3   File#initialize 
  0.01      0.000     0.000     0.000     0.000        9   ChunkyPNG::Chunk::Generic#initialize 
  0.01      0.000     0.000     0.000     0.000       12   Exception#backtrace 
  0.01      0.000     0.000     0.000     0.000        4   <Class::File>#expand_path 
  0.01      0.000     0.000     0.000     0.000        5   Array#select 
  0.01      0.000     0.000     0.000     0.000        8   Gem::Version#initialize 
  0.01      0.030     0.000     0.000     0.030        9   Proc#call 
  0.01      0.000     0.000     0.000     0.000        8   Gem::Version#prerelease? 
  0.01      0.000     0.000     0.000     0.000       12   Kolors::Rgb#rgb_standardize 
  0.01      0.000     0.000     0.000     0.000        8   String#scan 
  0.01      0.005     0.000     0.000     0.005        8  *Gem::Specification#method_missing 
  0.01      0.000     0.000     0.000     0.000       14   IO#eof? 
  0.01      0.000     0.000     0.000     0.000        5   ChunkyPNG::Color#rgba 
  0.01      0.006     0.000     0.000     0.006        8   <Class::Gem::Specification>#each 
  0.01      0.000     0.000     0.000     0.000        1   Cocaine::CommandLine::ProcessRunner#waitpid 
  0.01      0.000     0.000     0.000     0.000        4   Kolors::Rgb#rgb_to_xyz 
  0.01      0.000     0.000     0.000     0.000        4   Kolors::Rgb#xyz_to_lab 
  0.01      0.000     0.000     0.000     0.000        1   <Class::Zlib::Inflate>#inflate 
  0.01      0.000     0.000     0.000     0.000       23   Kernel#initialize_dup 
  0.01      0.028     0.000     0.000     0.028       12   <Module::Ai4r::Data::Statistics>#mean 
  0.01      0.001     0.000     0.000     0.001        1   Cocaine::CommandLine#run 
  0.01      0.002     0.000     0.000     0.002        8   Gem::Requirement#satisfied_by? 
  0.01      0.603     0.000     0.000     0.603        1   ChunkyPNG::Canvas::PNGDecoding#from_datastream 
  0.01      0.611     0.000     0.000     0.611        1   Kolors::DominantColors#detect_dominant_colors 
  0.01      0.606     0.000     0.000     0.606        1   Kolors::DominantColors#collect_pixels 
  0.01      0.000     0.000     0.000     0.000        9   <Class::ChunkyPNG::Chunk::Generic>#read 
  0.01      0.012     0.000     0.000     0.012        2   Kernel#require 
  0.01      0.028     0.000     0.000     0.028        4   Integer#times 
  0.01      0.000     0.000     0.000     0.000       16   Gem::Dependency#type 
  0.01      0.000     0.000     0.000     0.000        3   Process::Status#exitstatus 
  0.01      0.000     0.000     0.000     0.000       12   Kolors::Rgb#xyz_standardize 
  0.01      0.002     0.000     0.000     0.002        3   <Class::IO>#open 
  0.01      0.000     0.000     0.000     0.000        4   Array#<=> 
  0.01      0.000     0.000     0.000     0.000       28   Array#[]= 
  0.01      0.000     0.000     0.000     0.000        8   <Class::Gem::Version>#correct? 
  0.01      0.000     0.000     0.000     0.000       15   Array#include? 
  0.01      0.000     0.000     0.000     0.000       13   Hash#fetch 
  0.01      0.605     0.000     0.000     0.605        1   ChunkyPNG::Canvas::PNGDecoding#from_file 
  0.01      0.000     0.000     0.000     0.000        4   Array#reject! 
  0.01      0.000     0.000     0.000     0.000        3   IO#close 
  0.01      0.009     0.000     0.000     0.009        4  *Array#flatten 
  0.01      0.003     0.000     0.000     0.003        4   Gem::Dependency#matching_specs 
  0.01      0.000     0.000     0.000     0.000       40   Fixnum#== 
  0.01      0.000     0.000     0.000     0.000       10   Exception#initialize 
  0.01      0.000     0.000     0.000     0.000        8   <Class::Gem::Specification>#_all 
  0.01      0.003     0.000     0.000     0.003       16  *Array#map 
  0.01      0.000     0.000     0.000     0.000        1   <Class::ChunkyPNG::Datastream>#verify_signature! 
  0.01      0.000     0.000     0.000     0.000        8   NoMethodError#initialize 
  0.01      0.000     0.000     0.000     0.000        3   String#gsub 
  0.00      0.000     0.000     0.000     0.000        8   <Class::Gem::Platform>#match 
  0.00      0.000     0.000     0.000     0.000       20   Fixnum#<=> 
  0.00      0.000     0.000     0.000     0.000        8   NameError#initialize 
  0.00      0.003     0.000     0.000     0.003        4   Gem::Dependency#to_specs 
  0.00      0.000     0.000     0.000     0.000        9   String#strip 
  0.00      0.009     0.000     0.000     0.009        2   <Class::Gem::Specification>#find_in_unresolved_tree 
  0.00      0.000     0.000     0.000     0.000        8   Gem::Version#release 
  0.00      0.000     0.000     0.000     0.000        1   Ai4r::Clusterers::KMeans#calc_initial_centroids 
  0.00      0.000     0.000     0.000     0.000        8   Gem::Specification#sort_obj 
  0.00      0.000     0.000     0.000     0.000        4   Gem::Specification#traverse 
  0.00      0.000     0.000     0.000     0.000        1   ChunkyPNG::Chunk::Header#initialize 
  0.00      0.000     0.000     0.000     0.000        8   <Module::Gem>#platforms 
  0.00      0.000     0.000     0.000     0.000        1   Dir::Tmpname#create 
  0.00      0.001     0.000     0.000     0.001        1   Cocaine::CommandLine::ProcessRunner#call 
  0.00      0.000     0.000     0.000     0.000       12   Fixnum#to_s 
  0.00      0.000     0.000     0.000     0.000        8   Gem::Dependency#requirement 
  0.00      0.000     0.000     0.000     0.000        4   Hash#values 
  0.00      0.000     0.000     0.000     0.000        2   <Class::ChunkyPNG::Chunk::Text>#read 
  0.00      0.000     0.000     0.000     0.000        1   ChunkyPNG::Datastream#initialize 
  0.00      0.000     0.000     0.000     0.000       23   Kernel#respond_to_missing? 
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#unlink 
  0.00      0.000     0.000     0.000     0.000        8   Comparable#>= 
  0.00      0.000     0.000     0.000     0.000       15  *Array#== 
  0.00      0.000     0.000     0.000     0.000        6   <Class::Gem::Specification>#unresolved_deps 
  0.00      0.000     0.000     0.000     0.000        9   Module#const_get 
  0.00      0.011     0.000     0.000     0.011        2   <Class::Gem::Specification>#find_in_unresolved 
  0.00      0.000     0.000     0.000     0.000       20   Kernel#class 
  0.00      0.000     0.000     0.000     0.000       18   Fixnum#| 
  0.00      0.000     0.000     0.000     0.000        8   Comparable#< 
  0.00      0.002     0.000     0.000     0.002        8   Enumerable#all? 
  0.00      0.000     0.000     0.000     0.000       15   Fixnum#<< 
  0.00      0.000     0.000     0.000     0.000        1   Time#strftime 
  0.00      0.003     0.000     0.000     0.003        5   Ai4r::Data::DataSet#check_data_items 
  0.00      0.000     0.000     0.000     0.000        1   File::Stat#writable? 
  0.00      0.000     0.000     0.000     0.000        2   <Module::Gem>#find_unresolved_default_spec 
  0.00      0.000     0.000     0.000     0.000       12   Exception#exception 
  0.00      0.000     0.000     0.000     0.000       16   String#to_s 
  0.00      0.003     0.000     0.000     0.003        4   Enumerable#find 
  0.00      0.000     0.000     0.000     0.000       10   Hash#keys 
